completeID,fresh_weight,width,height,diameter,thickness,accession,species
PARL 246-3-7,459.5,13.7,32.7,78.3,14.2,246,O. ficus-indica
PARL 246-3-8,452.7,15.4,28.6,68.3,16.7,246,O. ficus-indica
PARL 246-4-1,790.7,17.6,36,85,15.8,246,O. ficus-indica
PARL 246-4-2,434.4,15.6,25.8,64.8,19.1,246,O. ficus-indica
PARL 246-4-3,300.8,13.2,27.4,64.1,13.9,246,O. ficus-indica
PARL 246-4-4,341.4,11.6,30.1,67.3,14,246,O. ficus-indica
PARL 246-4-5,530.7,15.2,29.5,72.1,19.4,246,O. ficus-indica
PARL 246-4-6,336.1,14.1,30.5,71.6,10.7,246,O. ficus-indica
PARL 246-4-7,479.3,12.8,34.2,76.7,16.8,246,O. ficus-indica
PARL 246-4-8,534.6,16.2,28.1,70.5,15.7,246,O. ficus-indica
PARL 319-1-1,1591.2,19.2,52.3,12.3,20.3,319,O. cochinillifera
PARL 319-1-2,881.1,15.1,37.6,85.8,23.7,319,O. cochinillifera
PARL 319-1-3,673.2,13.3,39.1,89,19.2,319,O. cochinillifera
PARL 319-1-4,627.4,12.2,35.2,81.9,21,319,O. cochinillifera
PARL 319-1-5,1204.7,17.5,14.4,102.8,25.5,319,O. cochinillifera
PARL 319-1-6,920.5,16.5,42,96.6,20,319,O. cochinillifera
PARL 319-1-7,1227.9,15.5,43.8,98.6,27.6,319,O. cochinillifera
PARL 319-1-8,830.5,14.6,44.6,99.8,21,319,O. cochinillifera
PARL 319-2-1,1050.7,17.3,45.2,100.5,23.5,319,O. cochinillifera
PARL 319-2-2,971.5,16.4,43.2,98.9,22.2,319,O. cochinillifera
PARL 319-2-3,1210.2,19.3,44.8,103.2,24.7,319,O. cochinillifera
PARL 319-2-4,1230.7,15.6,52.8,115.9,23.1,319,O. cochinillifera
PARL 319-2-5,1002.5,12.4,47.4,102,32.1,319,O. cochinillifera
PARL 319-2-6,1134.4,16.4,48.8,107.4,26.1,319,O. cochinillifera
PARL 319-2-7,1661.8,17.8,52.6,114.8,26.7,319,O. cochinillifera
PARL 319-2-8,1285.2,16.2,47.3,107.4,29.1,319,O. cochinillifera
PARL 319-3-1,1420.3,17.2,56.1,123.4,20.9,319,O. cochinillifera
PARL 319-3-2,1259.9,19.9,48.5,111.3,23.6,319,O. cochinillifera
PARL 319-3-3,942.8,13.8,51.7,111.8,21.3,319,O. cochinillifera
PARL 319-3-4,1350,16.1,51.3,115.3,27.9,319,O. cochinillifera
PARL 319-3-5,1221.7,17.7,43.5,105.9,18.7,319,O. cochinillifera
PARL 319-3-6,961.6,15.3,46.1,104,25.1,319,O. cochinillifera
PARL 319-3-7,1253.9,17.1,46.6,105.5,22.1,319,O. cochinillifera
PARL 319-3-8,1310.2,18.7,48.6,108.2,24.7,319,O. cochinillifera
PARL 319-4-1,1220.6,15.4,54.1,117.6,29.2,319,O. cochinillifera
PARL 319-4-2,1009.1,17.1,46.4,105.5,20.6,319,O. cochinillifera
PARL 319-4-3,1064.7,16.4,47.2,106,20.1,319,O. cochinillifera
PARL 319-4-4,729.7,14.1,38.6,78,23.6,319,O. cochinillifera
PARL 319-4-5,495.2,11,35.1,80,21.1,319,O. cochinillifera
PARL 319-4-6,974.7,12.2,50.2,106.6,21.3,319,O. cochinillifera
PARL 319-4-7,1139.2,18.6,41.4,101.1,23.1,319,O. cochinillifera
PARL 319-4-8,1410.1,16.2,61.3,123.6,20.7,319,O. cochinillifera
PARL 325-1-1,513.6,17.8,28.4,66.4,16,325,O. crassa
PARL 325-1-2,1813.7,23.9,48.7,113.3,25,325,O. crassa
PARL 325-1-3,1211.5,18.2,45.2,100.3,18,325,O. crassa
PARL 325-1-4,1390,24.3,35.6,92.8,22,325,O. crassa
PARL 325-1-5,1284.8,22.1,42.7,103.6,20,325,O. crassa
PARL 325-1-6,1781.3,26.4,44.9,108.6,29,325,O. crassa
PARL 325-1-7,1251.5,23.2,37.1,92.1,22,325,O. crassa
PARL 325-1-8,1670.5,21.2,46.8,105.8,28,325,O. crassa
PARL 325-2-1,1926.8,29.2,43.6,113.2,19.5,325,O. crassa
PARL 325-2-2,1667.6,27.4,42,104.4,19.8,325,O. crassa
PARL 325-2-3,1693.9,23.2,40.5,101.5,27.4,325,O. crassa
PARL 325-2-4,835.2,17.3,35.1,82.4,22.2,325,O. crassa
PARL 325-2-5,1165.9,20.5,43.2,100.5,22.9,325,O. crassa
PARL 325-2-6,1611.4,26.6,44.2,108.8,21.2,325,O. crassa
PARL 325-2-7,1239.9,22.8,36.4,91.3,22.2,325,O. crassa
PARL 325-2-8,2069.6,25,43.5,108,27.3,325,O. crassa
PARL 325-4-1,1272.3,20.8,40.7,96.3,22.4,325,O. crassa
PARL 325-4-2,1678.5,22.3,40.6,99.4,39.8,325,O. crassa
PARL 325-4-3,1226.1,23.8,39.7,101.3,18.3,325,O. crassa
PARL 325-4-4,1250.7,23.3,32.1,91.6,18.9,325,O. crassa
PARL 325-4-5,1244.2,23.9,38.8,94.4,23.9,325,O. crassa
PARL 325-4-6,1191.4,19.7,42.9,98.9,23.1,325,O. crassa
PARL 325-4-7,1490.1,20.4,46.8,106,23.4,325,O. crassa
PARL 325-4-8,2437.8,29.8,48.1,122.8,25.6,325,O. crassa
PARL 326-1-1,1298.5,19.4,33.6,83.1,32.7,326,O. ficus-indica
PARL 326-1-2,455.9,14,25.2,62.7,20.4,326,O. ficus-indica
PARL 326-1-3,542.4,14.6,27.9,68.1,21.2,326,O. ficus-indica
PARL 326-1-4,908.7,17.1,32.3,78.9,26.6,326,O. ficus-indica
PARL 326-1-5,1163,18.4,34.4,83.8,26.3,326,O. ficus-indica
PARL 326-1-6,1445.3,19.3,38.9,94.7,29.7,326,O. ficus-indica
PARL 326-1-7,855.3,17.4,28.1,72.6,25.5,326,O. ficus-indica
PARL 326-1-8,1041.3,17.2,35.5,82.6,25.9,326,O. ficus-indica
PARL 326-2-1,892.1,18.2,34.8,82.8,20.3,326,O. ficus-indica
PARL 326-2-2,744.8,16.4,28.7,69.1,26.8,326,O. ficus-indica
PARL 326-2-3,893.1,17.5,30.5,80.4,21.6,326,O. ficus-indica
PARL 326-2-4,592,15.4,28.2,66.1,21.3,326,O. ficus-indica
PARL 326-2-5,1177.3,19.6,33,86.2,24.6,326,O. ficus-indica
PARL 326-2-6,783.5,16.1,29.7,70.8,31.9,326,O. ficus-indica
PARL 326-2-7,607.4,14.3,24.5,63.6,26,326,O. ficus-indica
PARL 326-2-8,809.7,18.1,31.6,76.9,24.4,326,O. ficus-indica
PARL 326-3-1,695.9,15.5,31.4,73.9,21.6,326,O. ficus-indica
PARL 326-3-2,1097,18.9,36.6,88.2,22.7,326,O. ficus-indica
PARL 326-3-3,1094.5,19.9,32.1,81.1,29.1,326,O. ficus-indica
PARL 326-3-4,628.1,16.5,25.1,65.8,24.1,326,O. ficus-indica
PARL 326-3-5,785,16.3,29.9,74.2,23.4,326,O. ficus-indica
PARL 326-3-6,913.3,18.7,30.9,80.3,24.8,326,O. ficus-indica
PARL 326-3-7,953,19.4,34.8,82.7,21.4,326,O. ficus-indica
PARL 326-3-8,831.7,14.9,31.3,75.7,24,326,O. ficus-indica
PARL 326-4-1,1224.1,19.2,35.9,88.6,28,326,O. ficus-indica
PARL 326-4-2,788,14.1,32.9,76.1,13,326,O. ficus-indica
PARL 326-4-3,906.6,18,32.9,79.1,27,326,O. ficus-indica
PARL 326-4-4,1073.4,18.5,33.7,80.6,30.6,326,O. ficus-indica
PARL 326-4-5,1012.2,19.7,29.6,78.1,25.2,326,O. ficus-indica
PARL 326-4-6,924.8,17.6,31.4,77.3,27.1,326,O. ficus-indica
PARL 326-4-7,1233.6,19.5,36.7,90.5,24.1,326,O. ficus-indica
PARL 326-4-8,783.5,17.2,31.7,74.3,25.4,326,O. ficus-indica
PARL 390-1-1,1016,21.9,34.3,89.9,18.5,390,O. robusta
PARL 390-1-2,1196.1,25,28.5,82.5,25.1,390,O. robusta
PARL 390-1-3,1043,22.1,29.1,80.8,26.1,390,O. robusta
PARL 390-1-4,1162.8,25.1,33.4,92.3,20.6,390,O. robusta
PARL 390-1-5,421.5,17.5,23.7,66.6,13.9,390,O. robusta
PARL 390-1-6,1512,29.5,38.8,107.2,21.5,390,O. robusta
PARL 390-1-7,850.3,23.5,30.1,84.5,15.7,390,O. robusta
PARL 390-1-8,1615.4,24.2,35.6,95.4,33.4,390,O. robusta
PARL 390-2-1,1539.5,27.8,34.8,95.7,23.8,390,O. robusta
PARL 390-2-2,1337.4,23.7,36,94.9,22.7,390,O. robusta
PARL 390-2-3,1309.4,25.5,36,100.4,24.2,390,O. robusta
PARL 390-2-4,1869.8,24,34.3,93.4,32.1,390,O. robusta
PARL 390-2-5,2263.4,33.4,38.7,109.9,25.9,390,O. robusta
PARL 390-2-6,1506.3,26.5,33,99.5,21.3,390,O. robusta
PARL 390-2-7,1160.9,21.6,31.1,82.5,27,390,O. robusta
PARL 390-2-8,1619.8,25.8,34.6,94.6,28.2,390,O. robusta
PARL 390-3-4,934.5,22.5,27.7,78.1,19.9,390,O. robusta
PARL 390-3-5,1748.1,26.8,36.5,98.3,26.7,390,O. robusta
PARL 390-3-6,2064.4,30.7,37.2,105.7,27,390,O. robusta
PARL 390-3-7,1496.6,21.6,41.1,98.9,26.5,390,O. robusta
PARL 390-3-8,1323.7,24.4,36.5,96,18.9,390,O. robusta
PARL 390-4-1,2169.4,29.2,36.7,104.9,26.3,390,O. robusta
PARL 390-4-2,772.7,21.3,29.3,81.6,18.3,390,O. robusta
PARL 390-4-3,1380.5,26.4,27.1,86.2,27,390,O. robusta
PARL 390-4-4,657.8,20.3,22.4,70.6,20.7,390,O. robusta
PARL 390-4-5,1633.9,25.7,34.1,92.6,29.9,390,O. robusta
PARL 390-4-6,1019.6,24.8,28.2,58.6,24.6,390,O. robusta
PARL 390-4-7,1590.8,32.7,34.7,105.1,21,390,O. robusta
PARL 390-4-8,1194.9,23.3,33.4,90.7,23.9,390,O. robusta
PARL 572-1-1,854,19.2,35.5,84.4,17,572,O. ficus-indica
PARL 572-1-2,1193.4,21.7,45,105.1,17,572,O. ficus-indica
PARL 572-1-3,705.8,17.7,30.5,78,19,572,O. ficus-indica
PARL 572-1-4,1051.8,20.8,41.3,96.3,21,572,O. ficus-indica
PARL 572-1-5,868.2,19.4,31.8,79.7,23.4,572,O. ficus-indica
PARL 572-1-6,639.5,14.4,30,73.5,22,572,O. ficus-indica
PARL 572-1-7,527.1,14,28,68,19.8,572,O. ficus-indica
PARL 572-1-8,548,15.4,30.3,72.6,13,572,O. ficus-indica
PARL 572-2-1,808.2,19.6,38.3,91.7,14,572,O. ficus-indica
PARL 572-2-2,797.1,18.8,36.7,83.7,20.7,572,O. ficus-indica
PARL 572-2-3,817.1,19.7,36,86.2,14,572,O. ficus-indica
PARL 572-2-4,590.1,18,31,79.2,17,572,O. ficus-indica
PARL 572-2-5,726.7,17.7,36.8,84.7,19.1,572,O. ficus-indica
PARL 572-2-6,693.6,19.2,38,81.8,22.2,572,O. ficus-indica
PARL 572-2-7,956.5,19.8,38.6,89.2,23.3,572,O. ficus-indica
PARL 572-2-8,763.9,18.3,36.8,90.4,16.5,572,O. ficus-indica
PARL 572-4-1,748.7,19.2,37.3,84.1,16.5,572,O. ficus-indica
PARL 572-4-2,779.3,17.8,33.7,83.6,20.8,572,O. ficus-indica
PARL 572-4-3,1026.1,21.3,40.5,90.2,20.6,572,O. ficus-indica
PARL 572-4-4,1299.2,18.4,40.2,96.1,25.1,572,O. ficus-indica
PARL 572-4-5,1038.3,20.2,40.8,95.5,18.7,572,O. ficus-indica
PARL 572-4-6,901.1,19.8,34.3,83.3,25.3,572,O. ficus-indica
PARL 572-4-7,1164.7,20.6,37.2,90.6,20.9,572,O. ficus-indica
PARL 572-4-8,1257,22.6,43.8,105,18.3,572,O. ficus-indica
PARL 580-1-1,707.8,15,41.5,92.3,19.19,580,O. ficus-indica
PARL 580-1-2,1151.7,17.4,47.3,180.9,17.58,580,O. ficus-indica
PARL 580-1-3,821.8,17.4,42,94.4,17.48,580,O. ficus-indica
PARL 580-1-4,1135.4,17.5,46,100.5,22.78,580,O. ficus-indica
PARL 580-1-5,1034.1,16.5,43,101,18.73,580,O. ficus-indica
PARL 580-1-6,677.8,11.9,46.1,96.9,24.3,580,O. ficus-indica
PARL 580-1-7,714,14.7,39,82.5,16.99,580,O. ficus-indica
PARL 580-1-8,962.2,15.4,48.1,107.8,21.84,580,O. ficus-indica
PARL 580-2-1,664.5,15.4,37.9,85.4,17.5,580,O. ficus-indica
PARL 580-2-2,635.6,13.9,42,93.5,16.8,580,O. ficus-indica
PARL 580-2-3,893.4,14.2,38.3,90.3,25,580,O. ficus-indica
PARL 580-2-4,727,13.8,38.5,89.4,20.4,580,O. ficus-indica
PARL 580-2-5,1019.1,14.3,43.5,101.2,27,580,O. ficus-indica
PARL 580-2-6,990.6,14.4,48,107.9,21,580,O. ficus-indica
PARL 580-2-7,848.8,14.3,43.9,97.6,18.9,580,O. ficus-indica
PARL 580-2-8,830.6,15.1,40,89.3,20.6,580,O. ficus-indica
PARL 580-4-1,848.7,15.1,36.4,81.6,25.7,580,O. ficus-indica
PARL 580-4-2,687.4,13.8,38.9,86.1,21.2,580,O. ficus-indica
PARL 580-4-3,925.9,17.7,42.2,96.8,20.8,580,O. ficus-indica
PARL 580-4-4,1106.6,16.6,37.7,87.8,27.5,580,O. ficus-indica
PARL 580-4-5,734.1,15.1,38.2,88.8,18,580,O. ficus-indica
PARL 580-4-6,979.4,16.4,36.6,91.1,23.1,580,O. ficus-indica
PARL 580-4-7,824.9,14.7,41.2,88.2,21.9,580,O. ficus-indica
PARL 580-4-8,1171.3,17.9,42.2,94.7,26.4,580,O. ficus-indica
PARL 582-1-1,973.9,15.6,40.2,93.2,22.5,582,O. cochinillifera
PARL 582-1-2,1055.7,13.6,49.5,108.8,23.7,582,O. cochinillifera
PARL 582-1-3,1140.2,18.1,43.9,102.7,22.7,582,O. cochinillifera
PARL 582-1-4,847.4,15.3,40,92.7,22.4,582,O. cochinillifera
PARL 582-1-5,680,14.1,39.3,87.8,19.8,582,O. cochinillifera
PARL 582-1-6,807.5,14.9,37.2,87.8,21.8,582,O. cochinillifera
PARL 582-1-7,811.6,13.9,41.5,93.6,21.8,582,O. cochinillifera
PARL 582-1-8,859.6,14.7,43.7,97.8,19.7,582,O. cochinillifera
PARL 582-2-1,842.5,15.7,43.1,96.4,22.2,582,O. cochinillifera
PARL 582-2-2,936.2,16.5,41.4,96.1,22.9,582,O. cochinillifera
PARL 582-2-3,986.9,16.7,40.6,94.6,22.6,582,O. cochinillifera
PARL 582-2-4,961.8,14.6,43,99.4,21.5,582,O. cochinillifera
PARL 582-2-5,744.6,14.3,43.1,95.8,21.8,582,O. cochinillifera
PARL 582-2-6,836.6,16.2,45.6,100.6,18.3,582,O. cochinillifera
PARL 582-2-7,1267.9,17.6,43,99.4,25.3,582,O. cochinillifera
PARL 582-2-8,897.2,16.8,42.4,99.3,20.3,582,O. cochinillifera
PARL 582-3-1,994.9,15.6,37.3,103.1,23.9,582,O. cochinillifera
PARL 582-3-2,1075.4,17.1,43.8,99.7,24.2,582,O. cochinillifera
PARL 582-3-3,852.9,13.6,45.7,100.2,23,582,O. cochinillifera
PARL 582-3-4,780.6,13.3,40.3,90.6,21.6,582,O. cochinillifera
PARL 582-3-5,1150.5,17.9,44.8,101.6,20.8,582,O. cochinillifera
PARL 582-3-6,1051.2,15.7,45.6,102.6,22.7,582,O. cochinillifera
PARL 582-3-7,1050.7,15.4,47.1,102.3,24.6,582,O. cochinillifera
PARL 582-3-8,863.1,14.2,43.6,97.4,20.3,582,O. cochinillifera
PARL 582-4-1,695.7,13.4,40.3,90.6,18.7,582,O. cochinillifera
PARL 582-4-2,1104.1,17.4,43.6,104.2,17.8,582,O. cochinillifera
PARL 582-4-3,970,16.4,44.2,97.8,23.6,582,O. cochinillifera
PARL 582-4-4,953.5,16.9,41.4,97.1,20,582,O. cochinillifera
PARL 582-4-5,1013.2,16.4,42.2,98.9,25.3,582,O. cochinillifera
PARL 582-4-6,1109.8,17.4,43.7,98.9,23.9,582,O. cochinillifera
PARL 582-4-7,1400.9,18.6,47.3,109.5,24.9,582,O. cochinillifera
PARL 582-4-8,477.1,11.7,32.2,67,19,582,O. cochinillifera
PARL 584-1-1,1465.2,22.3,36.2,228,27.18,584,O. ficus-indica
PARL 584-1-2,2323.9,28.5,44.5,115.5,23.5,584,O. ficus-indica
PARL 584-1-3,756.3,19.7,25.6,70.5,23.6,584,O. ficus-indica
PARL 584-1-4,839.8,16.5,31.3,78.2,24,584,O. ficus-indica
PARL 584-1-5,1348,21.7,37.2,92.1,26.17,584,O. ficus-indica
PARL 584-1-6,1800.2,20.5,43,105,26.5,584,O. ficus-indica
PARL 584-1-7,1462.6,20.4,42.3,98.5,25.77,584,O. ficus-indica
PARL 584-1-8,1609.2,20.5,44.5,107,25,584,O. ficus-indica
PARL 584-2-1,1107.9,21.7,36.4,91.6,18.7,584,O. ficus-indica
PARL 584-2-2,987.5,17.8,33.2,78.2,28.7,584,O. ficus-indica
PARL 584-2-3,1093.4,20.5,38,81.9,27,584,O. ficus-indica
PARL 584-2-4,1281.4,20.5,34.2,88.3,29.4,584,O. ficus-indica
PARL 584-2-5,542.2,14.2,26.2,65.9,19.9,584,O. ficus-indica
PARL 584-2-6,881.4,17,28.5,74.2,23.3,584,O. ficus-indica
PARL 584-2-7,840.4,14.6,31.6,76.7,31.1,584,O. ficus-indica
PARL 584-2-8,813,16.6,30.3,73.5,21.9,584,O. ficus-indica
PARL 584-4-1,1059.3,18.9,35.2,86.3,21.6,584,O. ficus-indica
PARL 584-4-2,993.3,19.8,30.7,81.9,23,584,O. ficus-indica
PARL 584-4-3,584.2,15.6,24.3,66.4,21.6,584,O. ficus-indica
PARL 584-4-4,1174.3,19.9,40.3,95.9,20.9,584,O. ficus-indica
PARL 584-4-5,1511.2,19,39.2,96.9,29.9,584,O. ficus-indica
PARL 584-4-6,1529.1,23.8,42.7,103.7,20.3,584,O. ficus-indica
PARL 584-4-7,720.2,16.3,34.8,81.4,17.7,584,O. ficus-indica
PARL 584-4-8,916,17,38.3,90.4,19.8,584,O. ficus-indica
PARL 585-1-1,956.2,17.5,35.4,83.5,22.45,585,O. ficus-indica
PARL 585-1-2,851.6,17.7,32.5,80.1,24.5,585,O. ficus-indica
PARL 585-1-3,1212.4,22.6,38.6,95.2,22,585,O. ficus-indica
PARL 585-1-4,439.9,14.5,26,64.5,19.5,585,O. ficus-indica
PARL 585-1-5,382.1,16.2,27.8,65.4,15,585,O. ficus-indica
PARL 585-1-6,996.1,18.7,40.8,93.9,26,585,O. ficus-indica
PARL 585-1-7,722.3,15.8,34.5,83,21,585,O. ficus-indica
PARL 585-1-8,655.8,15.2,29,23.5,24,585,O. ficus-indica
PARL 585-2-1,787.4,18.4,29.9,75.4,20,585,O. ficus-indica
PARL 585-2-2,880.5,20.2,32.6,83.1,20.9,585,O. ficus-indica
PARL 585-2-3,457.2,18.3,33,72.6,15.3,585,O. ficus-indica
PARL 585-2-4,973.9,19.3,35.9,83,21.4,585,O. ficus-indica
PARL 585-2-5,581.2,16.2,28.5,71.9,18.2,585,O. ficus-indica
PARL 585-2-6,829.8,17.4,32.4,81.3,20.8,585,O. ficus-indica
PARL 585-2-7,452.4,14.2,22.9,60.4,20.1,585,O. ficus-indica
PARL 585-2-8,692,18.3,33,69.8,18.5,585,O. ficus-indica
PARL 585-4-1,649.8,16.6,33.6,81.4,16.5,585,O. ficus-indica
PARL 585-4-2,828.5,18.6,32.7,79.6,22.2,585,O. ficus-indica
PARL 585-4-3,544.2,15.4,22.6,57.8,26.6,585,O. ficus-indica
PARL 585-4-4,445.9,16.5,29.1,66.8,15,585,O. ficus-indica
PARL 585-4-5,860.9,18.5,34.4,82,23.3,585,O. ficus-indica
PARL 585-4-6,1015.2,18.6,36.7,86.1,22.6,585,O. ficus-indica
PARL 585-4-7,678,21,30.9,75.1,21.6,585,O. ficus-indica
PARL 585-4-8,762.8,17.9,32.1,79,23.1,585,O. ficus-indica
PARL 839-1-1,1587.7,29.4,46.9,119.4,17,839,O.undulata
PARL 839-1-2,941.3,41,35,95.3,14,839,O.undulata
PARL 839-1-3,885.9,24.6,34.7,94.6,19,839,O.undulata
PARL 839-1-4,1131.2,24.2,34.5,94.5,22,839,O.undulata
PARL 839-1-5,1147.4,31.1,37.4,99.4,15,839,O.undulata
PARL 839-1-6,948,24.4,31,90.5,17,839,O.undulata
PARL 839-1-7,1267,25.6,37.8,99.7,16,839,O.undulata
PARL 839-1-8,1098.2,23.4,38.4,98.5,17,839,O.undulata
PARL 839-2-1,557.3,20.3,30.1,74.9,17.9,839,O.undulata
PARL 839-2-2,939.9,21.9,35.2,88.2,21.5,839,O.undulata
PARL 839-2-3,361.9,15.6,26,66.5,15.2,839,O.undulata
PARL 839-2-4,918.8,23.9,34.2,94,12.5,839,O.undulata
PARL 839-2-5,1362.3,28,38.7,107.2,16.2,839,O.undulata
PARL 839-2-6,787.8,24.1,31.9,88.9,16.4,839,O.undulata
PARL 839-2-7,703.6,17,26,73.4,28.7,839,O.undulata
PARL 839-2-8,1254.7,26.4,36.9,102.5,18.4,839,O.undulata
PARL 839-4-1,996.7,25.6,36.8,101.5,14.8,839,O.undulata
PARL 839-4-2,788.7,23.7,36.9,90.3,12.4,839,O.undulata
PARL 839-4-3,599,21.6,36.6,85.8,11.2,839,O.undulata
PARL 839-4-4,1481.9,28.6,36.9,106.9,18.8,839,O.undulata
PARL 839-4-5,417.8,18.8,31.7,75.2,9.97,839,O.undulata
PARL 839-4-6,898.3,28.2,30.6,88.6,15,839,O.undulata
PARL 839-4-7,948.9,22.4,42.3,101.6,11.5,839,O.undulata
PARL 839-4-8,674.9,22.8,23.9,79.3,20.4,839,O.undulata
PARL 845-1-1,857,22.6,35.5,92.5,14.3,845,O. ficus-indica
PARL 845-1-2,454.5,17.1,31.6,75.4,13.5,845,O. ficus-indica
PARL 845-1-3,831,22.4,28.9,79.3,19.3,845,O. ficus-indica
PARL 845-1-4,734.8,21.8,29.9,75,18.3,845,O. ficus-indica
PARL 845-1-5,464.2,15.8,24.3,66.2,16.3,845,O. ficus-indica
PARL 845-1-6,719.7,19.2,26.9,73.7,18.3,845,O. ficus-indica
PARL 845-1-7,958.2,21.3,33.6,87.6,19.4,845,O. ficus-indica
PARL 845-1-8,830.7,25.5,35.4,89,13.3,845,O. ficus-indica
PARL 845-2-1,457.8,15.2,26.2,63.7,19.2,845,O. ficus-indica
PARL 845-2-2,1121.6,24.6,35.2,93.9,17.3,845,O. ficus-indica
PARL 845-2-3,1398.4,23.5,41.6,103.4,15,845,O. ficus-indica
PARL 845-2-4,744.3,20.1,31.6,82.3,12.9,845,O. ficus-indica
PARL 845-2-5,557,17.6,24.5,68,17.6,845,O. ficus-indica
PARL 845-2-6,373.7,19.4,23.2,62.3,11.1,845,O. ficus-indica
PARL 845-2-7,1596,25.3,42.5,110,21.3,845,O. ficus-indica
PARL 845-2-8,1067.1,19.6,36.2,92.7,16.7,845,O. ficus-indica
PARL 845-3-1,1213.5,24.2,35.4,92.1,21.2,845,O. ficus-indica
PARL 845-3-2,699.4,21.3,33.9,86.5,16.8,845,O. ficus-indica
