"Dataset","Graph","R2","Mode"
"Entire Dataset 584","Width vs. Fresh Weight",0.727,"Double Log"
"Entire Dataset 584","Width vs. Fresh Weight",0.733,"Double Linear"
"Entire Dataset 584","Height vs. Fresh Weight",0.771,"Double Log"
"Entire Dataset 584","Height vs. Fresh Weight",0.729,"Double Linear"
"Entire Dataset 584","Diameter vs. Fresh Weight",0.89,"Double Log"
"Entire Dataset 584","Diameter vs. Fresh Weight",0.876,"Double Linear"
"Entire Dataset 584","Thickness vs. Fresh Weight",0.124,"Double Log"
"Entire Dataset 584","Thickness vs. Fresh Weight",0.081,"Double Linear"
"Entire Dataset 584","Diameter / Width vs. Fresh Weight",0.008,"Double Log"
"Entire Dataset 584","Diameter / Width vs. Fresh Weight",0.005,"Double Linear"
"Entire Dataset 584","Width vs. Height",0.466,"Double Log"
"Entire Dataset 584","Width vs. Height",0.471,"Double Linear"
"Entire Dataset 584","Width vs. Diameter",0.627,"Double Log"
"Entire Dataset 584","Width vs. Diameter",0.633,"Double Linear"
"Entire Dataset 584","Width vs. Thickness",0.006,"Double Log"
"Entire Dataset 584","Width vs. Thickness",0.001,"Double Linear"
"Entire Dataset 584","Height vs. Diameter",0.911,"Double Log"
"Entire Dataset 584","Height vs. Diameter",0.912,"Double Linear"
"Entire Dataset 584","Height vs. Thickness",0.017,"Double Log"
"Entire Dataset 584","Height vs. Thickness",0.014,"Double Linear"
"Entire Dataset 584","Diameter vs. Thickness",0.014,"Double Log"
"Entire Dataset 584","Diameter vs. Thickness",0.01,"Double Linear"
"Entire Dataset 585","Width vs. Fresh Weight",0.502,"Double Log"
"Entire Dataset 585","Width vs. Fresh Weight",0.519,"Double Linear"
"Entire Dataset 585","Height vs. Fresh Weight",0.597,"Double Log"
"Entire Dataset 585","Height vs. Fresh Weight",0.645,"Double Linear"
"Entire Dataset 585","Diameter vs. Fresh Weight",0.757,"Double Log"
"Entire Dataset 585","Diameter vs. Fresh Weight",0.792,"Double Linear"
"Entire Dataset 585","Thickness vs. Fresh Weight",0.434,"Double Log"
"Entire Dataset 585","Thickness vs. Fresh Weight",0.362,"Double Linear"
"Entire Dataset 585","Diameter / Width vs. Fresh Weight",0.13,"Double Log"
"Entire Dataset 585","Diameter / Width vs. Fresh Weight",0.119,"Double Linear"
"Entire Dataset 585","Width vs. Height",0.503,"Double Log"
"Entire Dataset 585","Width vs. Height",0.459,"Double Linear"
"Entire Dataset 585","Width vs. Diameter",0.496,"Double Log"
"Entire Dataset 585","Width vs. Diameter",0.474,"Double Linear"
"Entire Dataset 585","Width vs. Thickness",0.057,"Double Log"
"Entire Dataset 585","Width vs. Thickness",0.052,"Double Linear"
"Entire Dataset 585","Height vs. Diameter",0.884,"Double Log"
"Entire Dataset 585","Height vs. Diameter",0.882,"Double Linear"
"Entire Dataset 585","Height vs. Thickness",0.041,"Double Log"
"Entire Dataset 585","Height vs. Thickness",0.058,"Double Linear"
"Entire Dataset 585","Diameter vs. Thickness",0.127,"Double Log"
"Entire Dataset 585","Diameter vs. Thickness",0.135,"Double Linear"
"Entire Dataset 839","Width vs. Fresh Weight",0.713,"Double Log"
"Entire Dataset 839","Width vs. Fresh Weight",0.674,"Double Linear"
"Entire Dataset 839","Height vs. Fresh Weight",0.474,"Double Log"
"Entire Dataset 839","Height vs. Fresh Weight",0.516,"Double Linear"
"Entire Dataset 839","Diameter vs. Fresh Weight",0.861,"Double Log"
"Entire Dataset 839","Diameter vs. Fresh Weight",0.865,"Double Linear"
"Entire Dataset 839","Thickness vs. Fresh Weight",0.072,"Double Log"
"Entire Dataset 839","Thickness vs. Fresh Weight",0.026,"Double Linear"
"Entire Dataset 839","Diameter / Width vs. Fresh Weight",0.019,"Double Log"
"Entire Dataset 839","Diameter / Width vs. Fresh Weight",0.009,"Double Linear"
"Entire Dataset 839","Width vs. Height",0.382,"Double Log"
"Entire Dataset 839","Width vs. Height",0.357,"Double Linear"
"Entire Dataset 839","Width vs. Diameter",0.745,"Double Log"
"Entire Dataset 839","Width vs. Diameter",0.7,"Double Linear"
"Entire Dataset 839","Width vs. Thickness",0.001,"Double Log"
"Entire Dataset 839","Width vs. Thickness",0.013,"Double Linear"
"Entire Dataset 839","Height vs. Diameter",0.738,"Double Log"
"Entire Dataset 839","Height vs. Diameter",0.759,"Double Linear"
"Entire Dataset 839","Height vs. Thickness",0.106,"Double Log"
"Entire Dataset 839","Height vs. Thickness",0.12,"Double Linear"
"Entire Dataset 839","Diameter vs. Thickness",0.002,"Double Log"
"Entire Dataset 839","Diameter vs. Thickness",0.014,"Double Linear"
"Entire Dataset 845","Width vs. Fresh Weight",0.825,"Double Log"
"Entire Dataset 845","Width vs. Fresh Weight",0.759,"Double Linear"
"Entire Dataset 845","Height vs. Fresh Weight",0.749,"Double Log"
"Entire Dataset 845","Height vs. Fresh Weight",0.784,"Double Linear"
"Entire Dataset 845","Diameter vs. Fresh Weight",0.876,"Double Log"
"Entire Dataset 845","Diameter vs. Fresh Weight",0.878,"Double Linear"
"Entire Dataset 845","Thickness vs. Fresh Weight",0.098,"Double Log"
"Entire Dataset 845","Thickness vs. Fresh Weight",0.1,"Double Linear"
"Entire Dataset 845","Diameter / Width vs. Fresh Weight",0.015,"Double Log"
"Entire Dataset 845","Diameter / Width vs. Fresh Weight",0.046,"Double Linear"
"Entire Dataset 845","Width vs. Height",0.699,"Double Log"
"Entire Dataset 845","Width vs. Height",0.703,"Double Linear"
"Entire Dataset 845","Width vs. Diameter",0.85,"Double Log"
"Entire Dataset 845","Width vs. Diameter",0.833,"Double Linear"
"Entire Dataset 845","Width vs. Thickness",0.006,"Double Log"
"Entire Dataset 845","Width vs. Thickness",0.008,"Double Linear"
"Entire Dataset 845","Height vs. Diameter",0.924,"Double Log"
"Entire Dataset 845","Height vs. Diameter",0.938,"Double Linear"
"Entire Dataset 845","Height vs. Thickness",0.002,"Double Log"
"Entire Dataset 845","Height vs. Thickness",0.003,"Double Linear"
"Entire Dataset 845","Diameter vs. Thickness",0.004,"Double Log"
"Entire Dataset 845","Diameter vs. Thickness",0.006,"Double Linear"
"Entire Dataset 854","Width vs. Fresh Weight",0.71,"Double Log"
"Entire Dataset 854","Width vs. Fresh Weight",0.694,"Double Linear"
"Entire Dataset 854","Height vs. Fresh Weight",0.26,"Double Log"
"Entire Dataset 854","Height vs. Fresh Weight",0.246,"Double Linear"
"Entire Dataset 854","Diameter vs. Fresh Weight",0.464,"Double Log"
"Entire Dataset 854","Diameter vs. Fresh Weight",0.471,"Double Linear"
"Entire Dataset 854","Thickness vs. Fresh Weight",0.206,"Double Log"
"Entire Dataset 854","Thickness vs. Fresh Weight",0.179,"Double Linear"
"Entire Dataset 854","Diameter / Width vs. Fresh Weight",0.165,"Double Log"
"Entire Dataset 854","Diameter / Width vs. Fresh Weight",0.164,"Double Linear"
"Entire Dataset 854","Width vs. Height",0.356,"Double Log"
"Entire Dataset 854","Width vs. Height",0.359,"Double Linear"
"Entire Dataset 854","Width vs. Diameter",0.573,"Double Log"
"Entire Dataset 854","Width vs. Diameter",0.586,"Double Linear"
"Entire Dataset 854","Width vs. Thickness",0.026,"Double Log"
"Entire Dataset 854","Width vs. Thickness",0.023,"Double Linear"
"Entire Dataset 854","Height vs. Diameter",0.852,"Double Log"
"Entire Dataset 854","Height vs. Diameter",0.849,"Double Linear"
"Entire Dataset 854","Height vs. Thickness",0.065,"Double Log"
"Entire Dataset 854","Height vs. Thickness",0.06,"Double Linear"
"Entire Dataset 854","Diameter vs. Thickness",0.022,"Double Log"
"Entire Dataset 854","Diameter vs. Thickness",0.018,"Double Linear"
